GameID   PlayerID  Games Played  Result  Elo Gain  Old Score  New Score
1        1         1             loss    0         0          0
2        1         2             win     25        0          25
3        1         3             win     25        25         50
4        1         4             win     50        50         100
5        1         5             loss    -25       100        75
6        1         6             loss    -25       75         50
7        1         7             win     25        50         75
8        1         8             win     25        75         100
9        1         9             win     50        100        150
10       1         10            loss    -25       150        125
114      1         11            win     25        125        150
115      1         12            win     25        150        175
116      1         13            win     50        175        225
117      1         14            loss    -25       225        200
118      1         15            win     25        200        225
11       2         1             win     25        0          25
12       2         2             win     25        25         50
13       2         3             loss    -25       50         25
14       2         4             win     25        25         50
15       2         5             win     25        50         75
16       2         6             loss    -25       75         50
17       2         7             win     25        50         75
18       2         8             win     25        75         100
19       2         9             win     50        100        150
20       2         10            win     50        150        200
81       2         11            win     50        200        250
82       2         12            win     50        250        300
83       2         13            win     50        300        350
84       2         14            win     50        350        400
85       2         15            win     50        400        450
21       3         1             win     25        0          25
22       3         2             win     25        25         50
23       3         3             loss    -25       50         25
24       3         4             win     25        25         50
25       3         5             win     25        50         75
26       3         6             win     50        75         125
27       3         7             win     50        125        175
28       3         8             loss    -25       175        150
29       3         9             loss    -25       150        125
30       3         10            win     25        125        150
101      3         11            win     25        150        175
102      3         12            win     50        175        225
103      3         13            loss    -25       225        200
104      3         14            loss    -25       200        175
105      3         15            loss    -25       175        150
31       4         1             win     25        0          25
32       4         2             win     25        25         50
33       4         3             win     50        50         100
34       4         4             loss    -25       100        75
35       4         5             win     25        75         100
36       4         6             win     25        100        125
37       4         7             win     50        125        175
38       4         8             loss    -25       175        150
39       4         9             win     25        150        175
40       4         10            win     25        175        200
86       4         11            loss    -25       200        175
87       4         12            loss    -25       175        150
88       4         13            loss    -25       150        125
89       4         14            loss    -25       125        100
90       4         15            win     25        100        125
41       5         1             loss    0         0          0
42       5         2             loss    0         0          0
43       5         3             loss    0         0          0
44       5         4             loss    0         0          0
45       5         5             loss    0         0          0
46       5         6             win     25        0          25
47       5         7             loss    -25       25         0
48       5         8             loss    0         0          0
49       5         9             win     25        0          25
50       5         10            win     25        25         50
51       6         1             win     25        0          25
52       6         2             loss    -25       25         0
53       6         3             loss    0         0          0
54       6         4             win     25        0          25
55       6         5             win     25        25         50
56       6         6             win     50        50         100
57       6         7             win     50        100        150
58       6         8             loss    -25       150        125
59       6         9             loss    -25       125        100
60       6         10            win     25        100        125
109      6         11            win     25        125        150
110      6         12            win     50        150        200
111      6         13            win     50        200        250
112      6         14            loss    -25       250        225
113      6         15            loss    -25       225        200
61       7         1             loss    0         0          0
62       7         2             loss    0         0          0
63       7         3             loss    0         0          0
64       7         4             loss    0         0          0
65       7         5             loss    0         0          0
66       7         6             win     25        0          25
67       7         7             win     25        25         50
68       7         8             win     50        50         100
69       7         9             win     50        100        150
70       7         10            loss    -25       150        125
106      7         11            win     25        125        150
107      7         12            win     25        150        175
108      7         13            loss    -25       175        150
71       8         1             win     25        0          25
72       8         2             win     25        25         50
73       8         3             loss    -25       50         25
74       8         4             loss    -25       25         0
75       8         5             loss    0         0          0
76       8         6             loss    0         0          0
77       8         7             loss    0         0          0
78       8         8             win     25        0          25
79       8         9             loss    -25       25         0
80       8         10            loss    0         0          0
91       9         1             win     25        0          25
92       9         2             loss    -25       25         0
93       9         3             win     25        0          25
94       9         4             loss    -25       25         0
95       9         5             loss    0         0          0
96       9         6             loss    0         0          0
97       9         7             win     25        0          25
98       9         8             win     25        25         50
99       9         9             loss    -25       50         25
100      9         10            win     25        25         50
